E_eV,f1,f2
498,21.8504,21.6793
499,21.8056,21.6512
501,21.8116,21.8728
502,21.9441,22.0572
503,22.0512,21.8156
504,21.9656,22.0221
505,22.1703,22.0888
506,22.2066,22.0449
507,22.1112,21.8619
508,22.1045,22.3984
509,22.3633,22.236
510,22.4267,22.4006
511,22.5218,22.3023
513,22.5547,22.3475
515,22.6391,22.5697
516,22.8437,22.9394
517,23.1527,22.6833
518,23.1722,22.752
519,23.2851,22.7036
521,23.7379,22.9384
522,23.7485,22.5718
523,23.8158,22.8523
524,23.9382,22.6965
525,23.995,22.7614
526,24.1951,22.9786
527,24.3825,22.7099
528,24.6848,23.0106
529,24.7589,22.2907
530,24.4342,22.4065
531,24.7047,22.9888
532,25.1194,22.6245
533,25.3965,22.5419
534,25.3568,22.1008
535,25.0291,21.8848
536,25.334,22.9132
537,25.8244,21.9605
538,25.6353,21.8652
539,25.4762,21.6171
540,25.4161,21.9564
541,25.5275,21.8132
542,25.7506,22.1452
543.01,26.1033,21.7086
544,26.2364,21.5559
545,25.7176,20.5629
546,26.3475,21.6065
549,26.2056,21.4023
550,26.1179,20.961
551,25.8764,21.239
554,26.5224,20.9745
555,26.1842,20.6909
556,26.1415,20.7764
557,26.114,21.055
558,26.305,20.5763
559,26.0379,20.8668
560,26.0171,20.5696
562,26.1676,21.1556
562.99,26.3207,20.8232
564,26.2724,21.1332
565,26.5669,20.8293
566,26.3858,20.8519
567,26.5143,20.744
569.01,26.2225,20.7968
570,26.4698,20.8888
572,26.3607,21.2869
580,27.8004,20.0625
582,27.297,20.137
584,27.0994,19.856
586,26.8593,20.1404
589.99,26.9268,20.4121
599.533,27.7729,20.5036
600,27.8063,20.5081
602,27.8083,20.3636
604,27.9122,20.423
610,28.3558,20.274
612,28.4561,20.1466
614,28.5508,20.1158
620,28.7462,19.8317
630.01,28.9959,19.6391
640,29.3335,19.4223
648,29.5941,19.2809
652,29.7534,19.1561
656,29.8586,19.1121
657.99,29.9756,19.0081
662,30.0292,18.97
664,30.1725,18.8819
674.74,30.3659,18.7183
684,30.6818,18.5804
694,31.1216,18.379
702,31.5017,18.1283
703.99,31.5075,18.0031
710,31.5938,17.8055
712,31.7313,17.8329
714,31.8038,17.6779
722,31.7977,17.4101
724,31.8189,17.4732
728.01,31.7782,17.316
739.785,32.1962,17.0953
744,32.2852,17.0178
748,32.3586,16.9561
750,32.4267,16.9551
758,32.6602,16.7376
768,32.9224,16.4707
770,32.9728,16.4692
772,33.1045,16.3664
774,33.1149,16.3366
776,33.3038,16.1628
788.551,33.1497,15.8333
801.305,33.2778,15.5105
802,33.2851,15.4933
806,33.3566,15.4087
815.99,33.4467,15.3219
829.188,33.6977,15.0785
830.01,33.7753,15.0636
832,33.7563,15.0663
834.01,33.8598,14.973
836,33.8322,14.9468
838,33.9073,14.854
840,33.8254,14.8614
853.586,34.1761,14.546
862,34.3185,14.3564
871.99,34.4123,14.0749
878,34.4113,13.9611
880,34.4381,13.9046
882,34.4094,13.9121
888,34.4865,13.7253
896,34.5671,13.6432
897.99,34.5753,13.5638
899.99,34.5542,13.581
904,34.6758,13.4919
906,34.6621,13.4643
907.99,34.6577,13.3575
916,34.722,13.2798
918,34.739,13.2132
920.01,34.7284,13.2203
922,34.7648,13.1541
924,34.8015,13.2271
926,34.8841,13.0496
928.01,34.8136,13.0382
943.02,34.985,12.7263
958.272,35.0337,12.4218
973.772,35.0353,12.1651
989.522,35.0575,12.0039
1005.53,35.1742,11.8198
1021.79,35.2741,11.5762
1038.32,35.3513,11.3376
1055.11,35.4177,11.1038
1072.18,35.4762,10.8749
1089.52,35.5284,10.6508
1107.14,35.5749,10.4312
1125.05,35.6164,10.2161
1143.24,35.6531,10.0055
1161.73,35.6855,9.79928
1180.52,35.7139,9.59728
1199.62,35.7386,9.39943
1219.02,35.7598,9.20566
1238.74,35.7788,9.01589
1258.77,35.7981,8.83002
1279.13,35.8134,8.64029
1299.82,35.8208,8.45265
1320.85,35.8224,8.26907
1342.21,35.8192,8.08949
1363.92,35.8116,7.9138
1385.98,35.7999,7.74193
1408.4,35.7844,7.57379
1431.18,35.765,7.40931
1454.32,35.7421,7.24839
1477.85,35.7157,7.09097
1501.75,35.6858,6.93697
1526.04,35.6552,6.78632
1550.72,35.6214,6.63329
1575.8,35.5811,6.48153
1601.29,35.5323,6.33325
1627.19,35.4785,6.18836
1653.51,35.4193,6.04679
1680.25,35.3546,5.90844
1707.43,35.2843,5.77327
1735.05,35.2081,5.64119
1763.11,35.1257,5.51213
1791.63,35.0367,5.38602
1820.6,34.9408,5.2628
1850.05,34.8373,5.1424
1879.97,34.7256,5.02475
1910.38,34.6051,4.90979
1941.28,34.4754,4.79747
1972.68,34.3341,4.68573
2004.58,34.1794,4.57558
2037.01,34.0091,4.46803
2069.95,33.8212,4.36299
2103.43,33.6132,4.26044
2137.46,33.3815,4.16029
2172.03,33.1216,4.06249
2207.16,32.827,3.96699
2242.86,32.4891,3.87374
2279.13,32.0953,3.78268
2316,31.6267,3.69376
2353.46,31.0529,3.60694
2391.52,30.3197,3.52215
2430.2,29.3147,3.43935
2469.51,27.7297,3.35851
2493,26.0567,3.31169
2520.1,11.7655,3.25903
2520.3,11.766,11.204
2526,22.0106,11.1674
2566.86,26.8215,10.9111
2592,27.2955,10.7583
2625,21.0984,10.5632
2625.2,21.1046,14.4992
2626,23.8802,14.4931
2668.47,29.6895,14.1719
2711.63,31.2204,13.8578
2755.49,32.2005,13.5507
2800.06,32.8335,13.2504
2839,33.0038,12.9972
2865.4,30.3063,12.8302
2865.6,30.3097,14.5823
2876,33.0633,14.5069
2922.52,34.6194,14.1777
2969.79,35.4837,13.8559
3017.82,36.1595,13.5414
3066.63,36.7285,13.2341
3116.23,37.2237,12.9337
3166.63,37.6632,12.6402
3217.85,38.0588,12.3533
3269.9,38.4199,12.0729
3322.79,38.7534,11.7969
3376.53,39.0586,11.5112
3431.14,39.3346,11.2324
3486.64,39.582,10.9604
3543.03,39.8093,10.695
3600.34,40.0181,10.436
3658.57,40.2105,10.1832
3717.74,40.3884,9.93663
3777.88,40.5532,9.69597
3838.98,40.7074,9.46115
3901.07,40.8546,9.23203
3964.17,40.9913,9.00145
4028.29,41.1149,8.77184
4093.44,41.2262,8.54808
4159.65,41.3274,8.33001
4226.93,41.4199,8.11752
4295.29,41.5045,7.91045
4364.77,41.5819,7.70867
4435.36,41.6528,7.51203
4507.1,41.7177,7.32039
4580,41.7772,7.13365
4654.08,41.8317,6.95168
4729.35,41.8832,6.77435
4805.85,41.9312,6.60155
4883.58,41.9752,6.42872
4962.57,42.0137,6.25797
5042.83,42.0462,6.09175
5124.4,42.0743,5.92995
5207.28,42.0983,5.77245
5291.5,42.1188,5.61913
5377.09,42.1361,5.46987
5464.06,42.1504,5.32459
5552.44,42.1621,5.18316
5642.24,42.1712,5.0455
5733.5,42.1781,4.91149
5826.24,42.1829,4.78102
5920.47,42.1858,4.65404
6016.23,42.187,4.53042
6113.54,42.187,4.41009
6212.42,42.1859,4.29296
6312.9,42.1843,4.17736
6415.01,42.18,4.06303
6518.76,42.1733,3.95183
6624.2,42.1648,3.84368
6731.34,42.1548,3.73849
6840.21,42.1434,3.63618
6950.85,42.1308,3.53667
7063.27,42.1171,3.43987
7177.52,42.1024,3.34573
7293.61,42.0868,3.25417
7411.57,42.0703,3.16511
7531.45,42.0531,3.07849
7653.27,42.0352,2.99424
7777.05,42.0166,2.91229
7902.84,41.9974,2.83259
8030.66,41.9777,2.75507
8160.55,41.9575,2.67967
8292.54,41.9368,2.60633
8426.67,41.9157,2.535
8562.96,41.8942,2.46562
8701.46,41.8724,2.39814
8842.2,41.8504,2.33251
